,index,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster_x,PC1,PC2,PCA_EuclidianDist(Xsign),1th_Boundary
967,967,38,130037,False,0.521,0.461,9,-10.949,1,0.0768,0.676,0.0017,0.0605,0.705,180.341,49,0.4310045681335829,0.4912576508740138,0.8397031031031517,1
968,968,40,289173,False,0.486,0.825,9,-10.004,1,0.147,0.326,0.0,0.369,0.829,135.736,21,0.3194687279897569,0.17766086545523951,0.5965383602691251,1
969,969,39,305073,False,0.848,0.753,5,-5.988,0,0.131,0.0136,6.53e-05,0.159,0.89,93.833,74,-0.6052766904062982,0.38033273368865395,-0.5204560644868471,-1
970,970,38,167200,False,0.521,0.593,0,-7.304,1,0.0391,0.521,0.0,0.171,0.915,107.907,51,0.5197180875192863,0.32764430539762024,0.8365504916703096,1
971,971,39,230260,False,0.74,0.524,10,-9.786,0,0.0969,0.47,0.0,0.608,0.673,96.024,65,-0.562176576688043,0.705418252325654,-0.7714072372922396,-1
972,972,38,311999,False,0.713,0.595,1,-10.415,0,0.0358,0.443,0.0409,0.108,0.782,139.99,77,-0.4511566637179892,0.5850075470327909,-0.6186257620269909,-1
973,973,39,258506,False,0.634,0.625,5,-10.287,0,0.045,0.743,0.00191,0.213,0.834,97.79,60,-0.4504069872531796,0.7894048930325723,-0.8144464658181427,-1
974,974,39,266944,False,0.621,0.892,1,-6.02,0,0.0467,0.24,4.33e-05,0.112,0.641,138.063,77,-0.5548154089967882,0.24833509306152804,-0.39317013112361043,-1
975,975,40,188226,False,0.636,0.842,10,-6.249,0,0.0514,0.0349,0.0,0.835,0.668,149.875,66,-0.688686811138665,0.2704161740646992,-0.5153358375494571,-1
976,976,39,187059,False,0.429,0.698,7,-8.635,1,0.0826,0.312,1.74e-05,0.142,0.481,89.971,23,0.32322314705052246,0.09081782943290684,0.5803728581329501,1
977,977,39,186431,False,0.744,0.611,7,-8.138,1,0.0356,0.143,2.39e-06,0.136,0.66,110.983,21,0.3418666553219385,0.19089314615174,0.6218893236981062,1
978,978,40,274539,False,0.464,0.284,7,-14.977,1,0.0307,0.778,0.0,0.695,0.458,147.137,33,0.4968286493122084,0.5552687003594197,0.93063223726257,1
979,979,39,122942,False,0.388,0.807,2,-6.576,0,0.0576,0.66,0.0,0.92,0.843,120.671,63,-0.45498556959731873,0.5186947914859004,-0.5577305536347626,-1
